,prices,address,beds,links
32,285000.0, 158 Walker St SW UNIT 2 Atlanta GA 30313 ,"<ul class=""list-card-details""><li class="""">2<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">2<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">1199<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Condo for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/158-Walker-St-SW-UNIT-2-Atlanta-GA-30313/2077713919_zpid/ "
33,170000.0, 377 Wyndham Way SE Atlanta GA 30315 ,"<ul class=""list-card-details""><li class="""">4<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">2<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">1248<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- House for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/377-Wyndham-Way-SE-Atlanta-GA-30315/97996054_zpid/ "
34,225000.0, 2217 Capella Cir SW Atlanta GA 30331 ,"<ul class=""list-card-details""><li class="""">3<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">3<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">2030<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- House for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/2217-Capella-Cir-SW-Atlanta-GA-30331/125809676_zpid/ "
35,8900000.0, 4295 Lakehaven Dr NE Atlanta GA 30319 ,"<ul class=""list-card-details""><li class="""">6<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">11<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">9350<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- House for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/4295-Lakehaven-Dr-NE-Atlanta-GA-30319/35903221_zpid/ "
36,390000.0, 715 Forest Crossing Dr SW Atlanta GA 30331 ,"<ul class=""list-card-details""><li class="""">4<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">4<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">2474<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- New construction</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/715-Forest-Crossing-Dr-SW-Atlanta-GA-30331/65450490_zpid/ "
37,1799999.0, 115 Laurel Dr NE Atlanta GA 30342 ,"<ul class=""list-card-details""><li class="""">6<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">7<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">8784<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- House for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/115-Laurel-Dr-NE-Atlanta-GA-30342/92192197_zpid/ "
38,399990.0, WESTERLY Plan Waterford Commons ,"<ul class=""list-card-details""><li class="""">5<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">4<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">3905<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- New construction</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/community/waterford-commons/2079690653_zpid/ "
39,1199000.0, 14 Rose Gate Dr NE Atlanta GA 30342 ,"<ul class=""list-card-details""><li class="""">5<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">6<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">5186<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- House for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/14-Rose-Gate-Dr-NE-Atlanta-GA-30342/35942312_zpid/ "
40,290000.0, 680 Rose Palm Ln Atlanta GA 30315 ,"<ul class=""list-card-details""><li class="""">2<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">2<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">1538<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Townhouse for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/680-Rose-Palm-Ln-Atlanta-GA-30315/171414752_zpid/ "
41,289900.0, 210 Walker St SW UNIT 9 Atlanta GA 30313 ,"<ul class=""list-card-details""><li class="""">1<abbr class=""list-card-label""> <!-- -->bd</abbr></li><li class="""">1<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">723<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Condo for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/210-Walker-St-SW-UNIT-9-Atlanta-GA-30313/2087841668_zpid/ "
